Denominazione del materiale;Denominazione chimica;Additivi;Densità [g/cm³];Modulo elastico trazione [MPa];Resistenza a trazione [MPa];Tensione di snervamento [MPa];Allungamento a snervamento [%];Allungamento a rottura [%];Modulo elastico flessione [MPa];Resistenza a flessione [MPa];Modulo elastico compressione [MPa];Resistenza a compressione 1%/2% [MPa];Resistenza agli urti Charpy [kJ/m²];Resistenza agli urti con intaglio Charpy [kJ/m²];Durezza a penetrazione di sfera [MPa];Temperatura di transizione vetrosa [°C];Temperatura di fusione [°C];Temperatura di esercizio a breve termine [°C];Temperatura di esercizio a lungo termine [°C];Dilatazione termica CLTE 23-60°C [10⁻⁶ K⁻¹];Dilatazione termica CLTE 23-100°C [10⁻⁶ K⁻¹];Calore specifico [J/(g×K)];Conducibilità termica [W/(m×K)];Resistività superficiale [Ω];Resistività di volume [Ω×cm];Rigidità dielettrica [kV/mm];Resistenza alla corrente di dispersione superficiale CTI [V];Assorbimento d'acqua 24h/96h 23°C [%];Resistenza all'acqua calda/soluzioni alcaline;Resistenza agli agenti atmosferici;Infiammabilità UL94
TECASINT 8001 yellow-brown;PTFE;20% poliammide;1.88;;35;;;200;;;;;27.3;5.1;;−20*;;;;;;;0.25*;10⁶;;;;0.12/0.27;;;VO⁰
TECASINT 5001 grey-green;PAI;30% fibre di vetro;1.57;5800;94;;;3.4;6625;;2590;;17.8;2.8;360;340;;;250;;3;1;;10⁵-10⁶;;;;0.16/0.33;;;VO⁰
TECASINT 5201 SD black;PAI;fibre di carbonio e di vetro;1.94;4500;85;;;4.0;4200;135;;;87;9.6;375;340;;;300;;3;;;10⁻⁴;;;;0.02/0.06;;;VO⁰
TECASINT 4011 natural;PI;;1.41;4000;130;;;4.5;4300;180;2100;;;4.8;265;260*;;;300;4;;;;10⁻⁴;;;;;;;VO⁰
TECASINT 4021 black;PI;15% grafite;1.49;4943;93;;;3;4930;;2067;;24.4;1.1;;260*;;;;;;1.04;;;10¹⁰;;;0.01/0.02;;;VO⁰
TECASINT 4121 black;PI;15% grafite;1.46;6700;100;;;1.7;6100;;2500;;24;1.4;345;n.a.*;;;;;;;;10⁻⁴;;;;;;;VO⁰
TECASINT 4221 black;PI;;1.53;6600;34;;;0.5;6100;;2200;;11;;;n.a.*;;;;4;;;0.35*;;10⁵;;;;;;VO⁰
TECASINT 2011 natural;PI;;1.38;1700;118;;;4.5;3600;177;1713;;87.9;5.3;260;370;;;;;4;0.925;0.22*;;;;;0.14/0.30;;;VO⁰
TECASINT 2021 black;PI;15% grafite;1.45;4400;101;;;3.7;4300;145;1900;;36.7;2.9;;370;;;;;4;;;10⁻¹;;;;;;;VO⁰
TECASINT 2031 black;PI;40% grafite;1.59;6300;65;;;2.1;5200;87.5;2027;;14.2;3.3;;370;;;;;;;;;10⁻¹;;;;;;VO⁰
TECASINT 2091 black;PI;15% MoS₂;1.54;4400;95;;;2.9;4136;137;2200;;75.8;;265;375;;;;;4;1.04;0.22*;10⁵;10⁷;;;0.12/0.24;;;VO⁰
TECASINT 1011 black;PI;;1.34;3600;116;;;1.8;3700;170;2000;;35.1;;265;368;;;;;4;1.13;0.33*;10⁵;10⁷;;;;;;VO⁰
TECASINT 1021 black;PI;15% grafite;1.42;4000;97;;;2.8;4000;150;1380;;16.5;;;330;;;;;;;;<10⁵;10⁷;;;;;;VO⁰
TECASINT 1031 black;PI;40% grafite;1.57;;63;;;2.2;;88;;;;;;330;;;;;;;;<10⁵;10⁷;;;;;;VO⁰
TECASINT 1041 black;PI;30% MoS₂;1.67;4340;82;;;2.8;4330;126;;;29.6;2.8;;330;;;;;;;;;;;;;;;VO⁰
TECASINT 1061 black;PI;15% grafite 10% PTFE;1.48;4000;77;;;2.9;4000;120;4000;;25.8;3.9;;330;;;;;;1.04;0.22*;;10⁷;;;;;;VO⁰
TECASINT 1181 black;PI;;1.34;;153;;;7.4;;209;;;67.6;;;330;;;;;;;;;10⁷;;;;;;VO⁰
TECASINT 1611 natural;PI;;1.51;;82;;;4.1;;122;;;;;;330;;;;;;;;;10⁷;;;;;;VO⁰
